종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
032500,케이엠더블유,239180,14710.0,3518337800,0.0009,3.957597173144878,0.59,,2026-07-22
003200,일신방직,356201,9870.0,3515703870,0.0009,2.0682523267838704,1.53,,2026-07-22
036810,에프에스티,173088,19880.0,3440989440,0.0008,-2.3095823095823143,0.78,,2026-07-22
268280,미원에스씨,30080,113900.0,3426112000,0.0008,-0.17528483786152238,0.61,,2026-07-22
007390,네이처셀,148837,22650.0,3371158050,0.0008,-8.484848484848484,0.23,,2026-07-22
030530,원익홀딩스,196078,17100.0,3352933800,0.0008,5.360443622920519,0.23,,2026-07-22
065350,신성델타테크,128559,26000.0,3342534000,0.0008,-0.5736137667303964,0.47,,2026-07-22
160980,싸이맥스,93787,35500.0,3329438500,0.0008,-6.33245382585752,0.91,,2026-07-22
058430,포스코스틸리온,761246,4350.0,3311420100,0.0008,-0.3436426116838476,1.25,,2026-07-22
004710,한솔테크닉스,365917,9000.0,3293253000,0.0008,-2.0674646354733373,1.1,,2026-07-22
044820,코스맥스비티아이,173210,18980.0,3287525800,0.0008,0.3701745108408261,1.78,,2026-07-22
377450,리파인,288612,11360.0,3278632320,0.0008,3.555150410209662,1.66,,2026-07-22
286940,롯데이노베이트,201342,16240.0,3269794080,0.0008,0.12330456226881115,1.32,,2026-07-22
077500,유니퀘스트,601504,5420.0,3260151680,0.0008,1.4981273408239737,2.78,,2026-07-22
383310,에코프로에이치엔,132308,24450.0,3234930600,0.0008,0.0,0.63,,2026-07-22
004380,삼익THK,388964,8240.0,3205063360,0.0008,2.360248447204971,2.41,,2026-07-22
000430,대원강업,899743,3510.0,3158097930,0.0008,0.0,1.47,,2026-07-22
138490,코오롱ENP,208729,15000.0,3130935000,0.0008,0.0,0.54,,2026-07-22
002020,코오롱,128297,24100.0,3091957700,0.0008,2.1186440677966045,1.0,,2026-07-22
377740,바이오노트,700637,4385.0,3072293245,0.0008,-1.1273957158962844,0.69,,2026-07-22
243070,휴온스,124088,24700.0,3064973600,0.0008,-3.32681017612525,1.05,,2026-07-22
002390,한독,365145,8370.0,3056263650,0.0008,1.7010935601458055,2.63,,2026-07-22
094280,효성ITX,253890,11900.0,3021291000,0.0007,0.16835016835017313,2.19,,2026-07-22
017370,우신시스템,749222,4000.0,2996888000,0.0007,-4.875148632580261,6.08,,2026-07-22
204620,글로벌텍스프리,675477,4420.0,2985608340,0.0007,-1.5590200445434244,1.09,,2026-07-22
016590,신대양제지,314136,9500.0,2984292000,0.0007,3.598691384950925,0.8,,2026-07-22
460850,동국씨엠,638655,4660.0,2976132300,0.0007,0.0,2.13,,2026-07-22
051370,인터플렉스,457516,6480.0,2964703680,0.0007,0.6211180124223503,1.98,,2026-07-22
003920,남양유업,71550,41050.0,2937127500,0.0007,0.4895960832313362,1.06,,2026-07-22
002240,고려제강,179272,16370.0,2934682640,0.0007,-0.42579075425790425,0.72,,2026-07-22
